year,rain_50m_pct,rain_tn_pct,totbal_50m_pct,totbal_tn_pct
2000,4.1272593,2.5043610000000003,8.7665201,3.2855518
2001,4.6142696,2.5373836,7.1483151,2.983564
2002,1.6556676,2.3683755,2.8873083,2.5213886000000003
2003,0.7220145,2.2492639,2.6562116000000002,3.0592517
2004,1.8441961999999998,2.6544018,5.2466501,9.3234334
2005,2.4598193,3.0221891000000003,9.016673,8.094287
2006,4.5532732,3.5856133999999997,11.8015968,11.79391
2007,4.7389176,5.553680099999999,11.3277657,15.849828699999998
2008,4.8345024,6.8352077,8.292192700000001,10.0049213
2009,2.7282626,5.2129194,4.5827935,5.9360773
2010,1.6383172000000001,4.7944046,4.488299,7.330751500000001
2011,1.7610590999999998,2.8371065,6.3684039,8.791428699999999
2012,2.4360494999999998,2.7398487,7.9075326,10.0684962
2013,3.5580711000000003,3.1069724,9.6392264,10.0863145
2014,4.5246132,3.757416,7.2928364,6.9199076999999996
2015,4.9183113,3.9860832,9.204277600000001,11.0620904
2016,5.3396705,4.491893999999999,9.7395795,15.483590399999999
2017,5.6136891,5.0460032,8.3156852,17.4842501
2018,6.5477341,5.7854467,11.7245839,14.0289851
2019,7.929661275870275,6.133679156005748,13.993789848403326,17.642564228383158
2020,8.4397036,8.2079905,12.711728899999999,21.8270987
2021,9.8900829,10.0357828,27.1255286,41.3065897
2022,11.642068,8.810923299999999,24.3686343,33.390557
